test_acc	variant	model_source	runset	log
0.7625	h5_ddp4	-	patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/h5_ddp4.out
0.7547	h5_ddp4	-	patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/h5_ddp4.out
0.7625	h5_single	-	patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/h5_single.out
0.7625	h5_single	-	patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/h5_single.out
0.8003	obj_bg	patchcls	patchcls_raypatch_s0_20260228_074613	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/obj_bg.out
0.7831	obj_bg	-	patchcls_obj_bg_pmalign_splitfile_20260227_223435	logs/sanity/patchcls/patchcls_obj_bg_pmalign_splitfile_20260227_223435/obj_bg.out
0.7831	obj_bg	-	patchcls_scan3_scratch_pmalign_20260227_202814	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/obj_bg.out
0.7659	obj_bg	-	patchcls_obj_bg_pmalign_vanilla_fix_20260228_043920	logs/sanity/patchcls/patchcls_obj_bg_pmalign_vanilla_fix_20260228_043920/obj_bg.out
0.7659	obj_bg	patchcls	patchcls_raypatch_s0_strict_20260228_075456	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/obj_bg.out
0.7608	obj_bg	patchcls	patchnepa_ptonly_ft_from100047_20260301_004316	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/obj_bg.out
0.7108	obj_bg	-	patchcls_scan3_scratch_v3nonorm_20260227_055706	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/obj_bg.out
0.7074	obj_bg	-	patchcls_scan3_scratch_h5_20260227_061351	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/obj_bg.out
0.6833	obj_bg	-	patchcls_scan3_scratch_retry2_20260227_053922	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/obj_bg.out
0.7711	obj_bg_full	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_full.out
0.7418	obj_bg_full	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_full.out
0.7797	obj_bg_layerscale_only	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_layerscale_only.out
0.7659	obj_bg_layerscale_only	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_layerscale_only.out
0.8021	obj_bg_nepa2d	patchcls	patchcls_ft_from_patchnepa99710_20260228_181336	logs/sanity/patchcls/patchcls_ft_from_patchnepa99710_20260228_181336/obj_bg_nepa2d.out
0.8003	obj_bg_nepa2d	patchcls	patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007	logs/sanity/patchcls/patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007/obj_bg_nepa2d.out
0.7797	obj_bg_nepa2d	patchnepa(direct)	patchnepaFT_from_ray_20260301_013921	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/obj_bg_nepa2d.out
0.7711	obj_bg_nepa2d	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_bg_nepa2d.out
0.7625	obj_bg_nepa2d	patchcls	patchcls_scratch_file_tta10_recheck_20260228_232553	logs/sanity/patchcls/patchcls_scratch_file_tta10_recheck_20260228_232553/obj_bg_nepa2d.out
0.7590	obj_bg_nepa2d	patchnepa(direct)	patchnepaFT_from_ptonly_fix_20260301_014058	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/obj_bg_nepa2d.out
0.7418	obj_bg_nepa2d	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_bg_nepa2d.out
0.7401	obj_bg_nepa2d	patchcls	patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732	logs/sanity/patchcls/patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732/obj_bg_nepa2d.out
0.7281	obj_bg_nepa2d	patchcls	patchnepa_rayqa_ft_from100011_queryonly_20260301_002508	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_queryonly_20260301_002508/obj_bg_nepa2d.out
0.7642	obj_bg_off	-	patchcls_nepa2d_comp_objbg_20260228_044626	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_off.out
0.7212	obj_bg_off	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_off.out
0.7108	obj_bg_off	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_off.out
0.7762	obj_bg_qk_only	-	patchcls_nepa2d_comp_objbg_20260228_044626	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_qk_only.out
0.7435	obj_bg_qk_only	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_qk_only.out
0.7194	obj_bg_qk_only	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_qk_only.out
0.7504	obj_bg_rope_only	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_rope_only.out
0.7504	obj_bg_rope_only	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_rope_only.out
0.7849	obj_bg_vanilla	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_bg_vanilla.out
0.7694	obj_bg_vanilla	patchcls	patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/obj_bg_vanilla.out
0.7659	obj_bg_vanilla	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_bg_vanilla.out
0.8176	obj_only	-	patchcls_scan3_scratch_pmalign_20260227_202814	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/obj_only.out
0.8055	obj_only	patchcls	patchcls_raypatch_s0_20260228_074613	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/obj_only.out
0.7883	obj_only	patchcls	patchcls_raypatch_s0_strict_20260228_075456	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/obj_only.out
0.7831	obj_only	patchcls	patchnepa_ptonly_ft_from100047_20260301_004316	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/obj_only.out
0.7797	obj_only	-	patchcls_scan3_scratch_h5_20260227_061351	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/obj_only.out
0.7676	obj_only	-	patchcls_scan3_scratch_v3nonorm_20260227_055706	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/obj_only.out
0.7212	obj_only	-	patchcls_scan3_scratch_retry2_20260227_053922	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/obj_only.out
0.7900	obj_only_h5	-	patchcls_objonly_parity_pointmae_20260227_070409	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_20260227_070409/obj_only_h5.out
0.7750	obj_only_h5	-	patchcls_objonly_parity_pointmae_ddp4_20260227_143511	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_ddp4_20260227_143511/obj_only_h5.out
0.7745	obj_only_h5	-	patchcls_objonly_parity_randomseed_20260227_063811	logs/sanity/patchcls/patchcls_objonly_parity_randomseed_20260227_063811/obj_only_h5.out
0.7719	obj_only_h5	-	patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841/obj_only_h5.out
0.7703	obj_only_h5	-	patchcls_objonly_ddp4_ckpt_eval_20260227_143730	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_20260227_143730/obj_only_h5.out
0.8365	obj_only_nepa2d	patchcls	patchcls_ft_from_patchnepa99710_20260228_181336	logs/sanity/patchcls/patchcls_ft_from_patchnepa99710_20260228_181336/obj_only_nepa2d.out
0.8003	obj_only_nepa2d	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_only_nepa2d.out
0.7986	obj_only_nepa2d	patchcls	patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007	logs/sanity/patchcls/patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007/obj_only_nepa2d.out
0.7952	obj_only_nepa2d	patchnepa(direct)	patchnepaFT_from_ray_20260301_013921	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/obj_only_nepa2d.out
0.7849	obj_only_nepa2d	patchcls	patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732	logs/sanity/patchcls/patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732/obj_only_nepa2d.out
0.7849	obj_only_nepa2d	patchcls	patchcls_scratch_file_tta10_recheck_20260228_232553	logs/sanity/patchcls/patchcls_scratch_file_tta10_recheck_20260228_232553/obj_only_nepa2d.out
0.7797	obj_only_nepa2d	patchnepa(direct)	patchnepaFT_from_ptonly_fix_20260301_014058	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/obj_only_nepa2d.out
0.7762	obj_only_nepa2d	patchcls	patchnepa_rayqa_ft_from100011_queryonly_20260301_002508	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_queryonly_20260301_002508/obj_only_nepa2d.out
0.7694	obj_only_nepa2d	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_only_nepa2d.out
0.7900	obj_only_v3	-	patchcls_objonly_parity_pointmae_20260227_070409	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_20260227_070409/obj_only_v3.out
0.7750	obj_only_v3	-	patchcls_objonly_parity_pointmae_ddp4_20260227_143511	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_ddp4_20260227_143511/obj_only_v3.out
0.7728	obj_only_v3	-	patchcls_objonly_parity_randomseed_20260227_063811	logs/sanity/patchcls/patchcls_objonly_parity_randomseed_20260227_063811/obj_only_v3.out
0.7719	obj_only_v3	-	patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841/obj_only_v3.out
0.7703	obj_only_v3	-	patchcls_objonly_ddp4_ckpt_eval_20260227_143730	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_20260227_143730/obj_only_v3.out
0.7866	obj_only_vanilla	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_only_vanilla.out
0.7659	obj_only_vanilla	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_only_vanilla.out
0.7504	obj_only_vanilla	-	patchcls_backbone_ablation_vanilla_tail_20260228_044235	logs/sanity/patchcls/patchcls_backbone_ablation_vanilla_tail_20260228_044235/obj_only_vanilla.out
0.7298	obj_only_vanilla	patchcls	patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/obj_only_vanilla.out
0.7609	pb_t50_rs	-	patchcls_scan3_scratch_pmalign_20260227_202814	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/pb_t50_rs.out
0.7113	pb_t50_rs	patchcls	patchcls_raypatch_s0_20260228_074613	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/pb_t50_rs.out
0.7037	pb_t50_rs	patchcls	patchcls_raypatch_s0_strict_20260228_075456	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/pb_t50_rs.out
0.6877	pb_t50_rs	-	patchcls_scan3_scratch_v3nonorm_20260227_055706	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/pb_t50_rs.out
0.6731	pb_t50_rs	-	patchcls_scan3_scratch_h5_20260227_061351	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/pb_t50_rs.out
0.7582	pb_t50_rs_nepa2d	patchnepa(direct)	patchnepaFT_from_ray_20260301_013921	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/pb_t50_rs_nepa2d.out
0.7380	pb_t50_rs_nepa2d	patchnepa(direct)	patchnepaFT_from_ptonly_fix_20260301_014058	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/pb_t50_rs_nepa2d.out
0.7207	pb_t50_rs_nepa2d	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/pb_t50_rs_nepa2d.out
0.7137	pb_t50_rs_nepa2d	patchcls	patchcls_ft_from_patchnepa99710_20260228_181336	logs/sanity/patchcls/patchcls_ft_from_patchnepa99710_20260228_181336/pb_t50_rs_nepa2d.out
0.7106	pb_t50_rs_nepa2d	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/pb_t50_rs_nepa2d.out
0.7078	pb_t50_rs_nepa2d	patchcls	patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732	logs/sanity/patchcls/patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732/pb_t50_rs_nepa2d.out
0.7065	pb_t50_rs_nepa2d	patchcls	patchcls_scratch_file_tta10_recheck_20260228_232553	logs/sanity/patchcls/patchcls_scratch_file_tta10_recheck_20260228_232553/pb_t50_rs_nepa2d.out
0.7047	pb_t50_rs_nepa2d	patchcls	patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007	logs/sanity/patchcls/patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007/pb_t50_rs_nepa2d.out
0.6541	pb_t50_rs_serial	-	patchcls_pb_t50_rs_serial_fix1_20260228_052424	logs/sanity/patchcls/patchcls_pb_t50_rs_serial_fix1_20260228_052424/pb_t50_rs_serial.out
0.6489	pb_t50_rs_serial_ztrans	-	patchcls_pb_t50_rs_serial_ztrans_20260228_053913	logs/sanity/patchcls/patchcls_pb_t50_rs_serial_ztrans_20260228_053913/pb_t50_rs_serial_ztrans.out
0.7443	pb_t50_rs_vanilla	-	patchcls_backbone_ablation_vanilla_tail_20260228_044235	logs/sanity/patchcls/patchcls_backbone_ablation_vanilla_tail_20260228_044235/pb_t50_rs_vanilla.out
0.7280	pb_t50_rs_vanilla	patchcls	patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/pb_t50_rs_vanilla.out
0.7158	pb_t50_rs_vanilla	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/pb_t50_rs_vanilla.out
0.6957	pb_t50_rs_vanilla	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/pb_t50_rs_vanilla.out
0.6662	pc_pb_t50_fair_fps16	-	patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306	logs/sanity/patchcls/patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306/pc_pb_t50_fair_fps16.out
0.6541	pc_pb_t50_fair_ser_m	-	patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306	logs/sanity/patchcls/patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306/pc_pb_t50_fair_ser_m.out
0.6489	pc_pb_t50_fair_ser_zt	-	patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306	logs/sanity/patchcls/patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306/pc_pb_t50_fair_ser_zt.out
0.7849	pcf_a_repro	patchcls	patchcls_objonly_factor4_20260228_070858	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_a_repro.out
0.7849	pcf_b_file	patchcls	patchcls_objonly_factor4_20260228_070858	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_b_file.out
0.7694	pcf_c_initpm	patchcls	patchcls_objonly_factor4_20260228_070858	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_c_initpm.out
0.7728	pcf_d_vanilla	patchcls	patchcls_objonly_factor4_20260228_070858	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_d_vanilla.out
0.1343	pcfix_w0_bs128	-	patchcls_objonly_ddp_fixcheck_20260227_163745	logs/sanity/patchcls/patchcls_objonly_ddp_fixcheck_20260227_163745/pcfix_w0_bs128.out
0.1343	pcfix_w8_bs128	-	patchcls_objonly_ddp_fixcheck_20260227_163745	logs/sanity/patchcls/patchcls_objonly_ddp_fixcheck_20260227_163745/pcfix_w8_bs128.out
0.7625	pcpc_h5_d4	-	patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_h5_d4.out
0.7625	pcpc_h5_s1	-	patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_h5_s1.out
0.7625	pcpc_v3_d4	-	patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_v3_d4.out
0.7625	pcpc_v3_s1	-	patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_v3_s1.out
0.7952	pcsb128	-	patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159	logs/sanity/patchcls/patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159/pcsb128.out
0.8003	pcsb64	-	patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159	logs/sanity/patchcls/patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159/pcsb64.out
0.7625	v3_ddp4	-	patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/v3_ddp4.out
0.7547	v3_ddp4	-	patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/v3_ddp4.out
0.7625	v3_single	-	patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/v3_single.out
0.7625	v3_single	-	patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/v3_single.out