runset	variant	status	test_acc	patchnepa_ft_mode	pooling	cls_token	is_causal	model_source	log
patchnepaFT_from_ray_causal_probe_20260301_020406	obj_bg	completed	0.7487	-	cls_max	-	True	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ray_causal_probe_20260301_020406/obj_bg.out
patchnepaFT_from_ray_interleave_20260301_014535	obj_bg	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepaFT_from_ray_interleave_20260301_014535/obj_bg.out
patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	obj_bg	completed	0.7573	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/obj_bg.out
patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	obj_bg	completed	0.7986	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/obj_bg.out
patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	obj_bg	completed	0.7797	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/obj_bg.out
patchnepaFT_splitx2_dualmask_baseline_20260301_040740	obj_bg	completed	0.7900	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/obj_bg.out
patchnepaFT_splitx2_dualmask_qonly_20260301_040743	obj_bg	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_20260301_040743/obj_bg.out
patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745	obj_bg	no_test_acc	-	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745/obj_bg.out
patchnepaFT_splitx2_encdec1_baseline_20260301_040736	obj_bg	completed	0.7797	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/obj_bg.out
patchnepaFT_splitx2_encdec1_qonly_20260301_040738	obj_bg	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_qonly_20260301_040738/obj_bg.out
patchnepa_ft	obj_bg	completed	0.8072	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/obj_bg.out
patchnepa_ft_variants_20260301_223043	obj_bg	completed	0.6799	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/obj_bg.out
patchnepaFT_ablate_objonly_base_llrdcw_lastq_freeze1_20260301_170200	obj_only	completed	0.7298	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_base_llrdcw_lastq_freeze1_20260301_170200/obj_only.out
patchnepaFT_ablate_objonly_llrdcw_bos_freeze1_20260301_170210	obj_only	completed	0.7298	qa_zeroa	cls	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_llrdcw_bos_freeze1_20260301_170210/obj_only.out
patchnepaFT_ablate_objonly_llrdcw_lastq_freeze0_20260301_170215	obj_only	completed	0.7108	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_llrdcw_lastq_freeze0_20260301_170215/obj_only.out
patchnepaFT_ablate_objonly_static_lastq_freeze1_20260301_170205	obj_only	completed	0.7676	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_static_lastq_freeze1_20260301_170205/obj_only.out
patchnepaFT_from_fpscmp_fps_20260301_205540	obj_only	completed	0.6420	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_fpscmp_fps_20260301_205540/obj_only.out
patchnepaFT_from_fpscmp_rand_20260301_205548	obj_only	completed	0.7435	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_fpscmp_rand_20260301_205548/obj_only.out
patchnepaFT_from_ray_interleave_20260301_014535	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepaFT_from_ray_interleave_20260301_014535/obj_only.out
patchnepaFT_objonly_dualmask_lastq_llrd_20260301_154828	obj_only	completed	0.7676	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_dualmask_lastq_llrd_20260301_154828/obj_only.out
patchnepaFT_objonly_encdec1_lastq_llrd_20260301_154822	obj_only	completed	0.7711	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_encdec1_lastq_llrd_20260301_154822/obj_only.out
patchnepaFT_objonly_fromB768_E300_20260301_165504	obj_only	completed	0.7315	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_E300_20260301_165504/obj_only.out
patchnepaFT_objonly_fromB768_E300_retry_20260301_230030	obj_only	completed	0.8158	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_E300_retry_20260301_230030/obj_only.out
patchnepaFT_objonly_fromB768_probe_20260301_165321	obj_only	completed	0.7315	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_probe_20260301_165321/obj_only.out
patchnepaFT_objonly_fromB768_probe_retry_20260301_230010	obj_only	completed	0.7883	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_probe_retry_20260301_230010/obj_only.out
patchnepaFT_objonly_fromE300_dualmask_splitsep_20260301_170815	obj_only	completed	0.7866	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromE300_dualmask_splitsep_20260301_170815/obj_only.out
patchnepaFT_objonly_fromEMA100_ema_20260301_170323	obj_only	completed	0.7969	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromEMA100_ema_20260301_170323/obj_only.out
patchnepaFT_objonly_fromEMA100_raw_20260301_170323	obj_only	completed	0.7401	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromEMA100_raw_20260301_170323/obj_only.out
patchnepaFT_objonly_from_multik124_gb128_20260301_174748	obj_only	completed	0.7108	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_from_multik124_gb128_20260301_174748/obj_only.out
patchnepaFT_objonly_from_skipk4_gb128_20260301_173714	obj_only	completed	0.7160	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_from_skipk4_gb128_20260301_173714/obj_only.out
patchnepaFT_objonly_interleave_fix_gb128_20260301_173714	obj_only	completed	0.7642	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_interleave_fix_gb128_20260301_173714/obj_only.out
patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	obj_only	completed	0.7814	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/obj_only.out
patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	obj_only	completed	0.8090	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/obj_only.out
patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	obj_only	completed	0.7797	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/obj_only.out
patchnepaFT_splitx2_dualmask_baseline_20260301_040740	obj_only	completed	0.8193	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/obj_only.out
patchnepaFT_splitx2_dualmask_qonly_20260301_040743	obj_only	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_20260301_040743/obj_only.out
patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745	obj_only	no_test_acc	-	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745/obj_only.out
patchnepaFT_splitx2_encdec1_baseline_20260301_040736	obj_only	completed	0.7900	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/obj_only.out
patchnepaFT_splitx2_encdec1_qonly_20260301_040738	obj_only	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_qonly_20260301_040738/obj_only.out
patchnepa_ft_variants_20260301_223043	obj_only	completed	0.7074	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/obj_only.out
patchnepa_refactor_repro1_20260301_021900	obj_only	completed	0.8072	-	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_refactor_repro1_20260301_021900/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_fps_off_E12	obj_only	completed	0.6454	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_fps_off_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_fps_on_E12	obj_only	completed	0.5318	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_fps_on_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_random_off_E12	obj_only	completed	0.6833	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_random_off_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_random_on_E12	obj_only	completed	0.6196	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_random_on_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_off_E12	obj_only	completed	0.6368	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_off_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_on_E12	obj_only	completed	0.6317	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_on_E12/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r1/obj_only.out
