model,task,split,selection_protocol,top1,top2_hit,top5_hit,oracle2_score,oracle5_score,hardest_pair,n_samples,checkpoint_path,notes
pcpmae,scanobjectnn,obj_bg,heldout_selection,92.77108311653137,97.9345977306366,99.48365092277527,97.9345977306366,99.48365092277527,"{'count': 3, 'pred': 'display', 'true': 'cabinet'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_bg/pcpmae/pcpmae_obj_bg_heldout_seed2026/ckpt-best.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,scanobjectnn,obj_bg,official_checkpoint,94.49225664138794,97.7624773979187,99.65576529502869,97.7624773979187,99.65576529502869,"{'count': 5, 'pred': 'desk', 'true': 'table'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_bg/ckpt-best-95.53.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,scanobjectnn,obj_only,heldout_selection,92.25473403930664,97.24612832069397,99.13941621780396,97.24612832069397,99.13941621780396,"{'count': 4, 'pred': 'shelf', 'true': 'cabinet'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_only/pcpmae/pcpmae_obj_only_heldout_seed2026/ckpt-best.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,scanobjectnn,obj_only,official_checkpoint,93.28743815422058,96.72977328300476,99.31153059005737,96.72977328300476,99.31153059005737,"{'count': 3, 'pred': 'shelf', 'true': 'cabinet'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_only/ckpt-best-93.97-ckpt-300-finetune.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,scanobjectnn,pb_t50_rs,heldout_selection,88.86190056800842,95.7321286201477,98.85495901107788,95.7321286201477,98.85495901107788,"{'count': 24, 'pred': 'desk', 'true': 'table'}",2882,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_pb_t50_rs/pcpmae/pcpmae_pb_t50_rs_heldout_seed2026/ckpt-best.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,scanobjectnn,pb_t50_rs,official_checkpoint,89.52116370201111,96.21790647506714,99.06315207481384,96.21790647506714,99.06315207481384,"{'count': 20, 'pred': 'desk', 'true': 'table'}",2882,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/pb_t50_rs/ckpt-best-90.35.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,scanobjectnn,obj_bg,heldout_selection,85.88640093803406,94.49225664138794,98.96729588508606,94.49225664138794,98.96729588508606,"{'count': 5, 'pred': 'cabinet', 'true': 'door'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_bg/pointmae/pointmae_obj_bg_heldout_seed2026/ckpt-best.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,scanobjectnn,obj_bg,official_checkpoint,89.32874202728271,95.5249547958374,99.13941621780396,95.5249547958374,99.13941621780396,"{'count': 6, 'pred': 'desk', 'true': 'table'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_objonly.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,scanobjectnn,obj_only,heldout_selection,86.40275597572327,94.32013630867004,98.27883243560791,94.32013630867004,98.27883243560791,"{'count': 7, 'pred': 'shelf', 'true': 'cabinet'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_only/pointmae/pointmae_obj_only_heldout_seed2026/ckpt-best.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,scanobjectnn,obj_only,official_checkpoint,86.74699068069458,95.00860571861267,98.10671210289001,95.00860571861267,98.10671210289001,"{'count': 6, 'pred': 'shelf', 'true': 'cabinet'}",581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_objbg.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,scanobjectnn,pb_t50_rs,heldout_selection,83.10201168060303,92.05412864685059,97.57112860679626,92.05412864685059,97.57112860679626,"{'count': 23, 'pred': 'desk', 'true': 'table'}",2882,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_pb_t50_rs/pointmae/pointmae_pb_t50_rs_heldout_seed2026/ckpt-best.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,scanobjectnn,pb_t50_rs,official_checkpoint,84.80222225189209,92.67869591712952,98.0569064617157,92.67869591712952,98.0569064617157,"{'count': 26, 'pred': 'desk', 'true': 'table'}",2882,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_hardest.pth,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,shapenetpart,test,finetuned_from_public_pretrain,94.72956966009917,99.23570562586987,100.0,95.65469367846066,100.0,,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,"ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path. Support perturbation metrics are computed on unique retained original point indices. When retained support is resampled for the fixed-size forward pass, logits are averaged back to each original retained point before mIoU/top-k computation; checkpoint loaded with exact model-key coverage."
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_ckpt300,94.71018452070285,99.23222275682846,100.0,95.57288009016973,100.0,,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg/pcpmae_public_pretrain300_shapenetpart_seed2026_20260502_231103/checkpoints/best_model.pth,"ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path. Support perturbation metrics are computed on unique retained original point indices. When retained support is resampled for the fixed-size forward pass, logits are averaged back to each original retained point before mIoU/top-k computation; checkpoint loaded with exact model-key coverage."
pointmae,shapenetpart,test,official_checkpoint,94.65061896529228,99.25726543471643,100.0,95.87304356794087,100.0,,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/part_seg.pth,"ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path. Support perturbation metrics are computed on unique retained original point indices. When retained support is resampled for the fixed-size forward pass, logits are averaged back to each original retained point before mIoU/top-k computation; ignored unexpected checkpoint keys: conv_fuse.0.weight, conv_fuse.1.weight, conv_fuse.1.bias, conv_fuse.1.running_mean, conv_fuse.1.running_var, conv_fuse.1.num_batches_tracked."
